País;Região;Pontuação;Sociedade;Expectativa;Liberdade;Generosidade;Corrupção;Análise
África do Sul;África;4.956;0.86;56.904;0.749;-0.067;0.86;Sim
Benin;África;5.045;0.489;54.713;0.757;-0.034;0.661;Não
Botswana;África;3.467;0.784;59.269;0.824;-0.246;0.801;Não
Burkina Faso;África;4.834;0.672;54.151;0.695;-0.009;0.748;Não
Burundi;África;3.775;0.49;53.4;0.626;-0.024;0.607;Não
Camarões;África;5.142;0.71;53.515;0.731;0.026;0.848;Sim
Chade;África;4.355;0.619;48.478;0.579;0.041;0.807;Não
Comores;África;4.289;0.626;57.349;0.548;0.082;0.781;Não
Congo;África;5.342;0.636;58.221;0.695;-0.068;0.745;Sim
Costa do Marfim;África;5.306;0.644;50.114;0.741;-0.016;0.794;Não
Etiópia;África;4.275;0.764;59;0.752;0.082;0.761;Sim
Gabão;África;4.852;0.776;59.962;0.731;-0.2;0.84;Não
Gâmbia;África;5.051;0.69;55.16;0.697;0.424;0.746;Não
Gana;África;5.088;0.727;57.586;0.807;0.123;0.848;Não
Guiné;África;4.984;0.639;55.008;0.697;0.095;0.766;Não
Lesoto;África;3.512;0.787;48.7;0.715;-0.131;0.915;Não
Libéria;África;4.625;0.72;56.498;0.735;0.05;0.85;Não
Madagáscar;África;4.208;0.686;59.305;0.552;-0.005;0.803;Não
Malawi;África;3.6;0.537;57.948;0.78;0.038;0.729;Não
Mali;África;4.723;0.724;51.969;0.697;-0.036;0.827;Não
Maurício;África;6.049;0.905;66.701;0.867;-0.054;0.789;Não
Mauritânia;África;4.227;0.795;57.161;0.561;-0.106;0.731;Não
Moçambique;África;4.794;0.744;54.706;0.882;0.061;0.684;Sim
Namibia;África;4.574;0.818;56.799;0.719;-0.149;0.847;Não
Níger;África;5.074;0.641;53.78;0.806;0.018;0.693;Não
Nigéria;África;4.759;0.74;50.102;0.737;0.037;0.878;Sim
Quênia;África;4.607;0.688;60.704;0.779;0.287;0.825;Não
Ruanda;África;3.415;0.552;61.4;0.897;0.061;0.167;Sim
Senegal;África;5.132;0.71;59.802;0.695;-0.046;0.801;Não
Serra Leoa;África;3.849;0.63;51.651;0.717;0.084;0.866;Não
Suazilândia;África;4.308;0.77;50.833;0.647;-0.185;0.708;Não
Tanzânia;África;3.623;0.702;57.999;0.833;0.183;0.577;Não
Uganda;África;4.636;0.781;56.101;0.709;0.122;0.855;Não
Zâmbia;África;4.073;0.708;55.809;0.782;0.061;0.823;Não
Zimbábue;África;3.145;0.75;56.201;0.677;-0.047;0.821;Não
Argentina;Americano;5.929;0.898;69;0.828;-0.182;0.834;Sim
Bolívia;Americano;5.716;0.81;63.901;0.875;-0.077;0.839;Não
Brasil;Americano;6.33;0.882;66.601;0.804;-0.071;0.756;Sim
Canadá;Americano;7.103;0.926;73.8;0.915;0.089;0.415;Sim
Chile;Americano;6.172;0.882;70;0.742;-0.044;0.83;Sim
Colômbia;Americano;6.012;0.847;68.001;0.837;-0.135;0.841;Sim
Costa Rica;Americano;7.069;0.891;71.4;0.934;-0.126;0.809;Não
El Salvador;Americano;6.061;0.762;66.402;0.888;-0.11;0.688;Não
Equador;Americano;5.764;0.821;68.8;0.842;-0.124;0.843;Não
Estados Unidos;Americano;6.951;0.92;68.2;0.837;0.098;0.698;Sim
Guatemala;Americano;6.435;0.813;64.958;0.906;-0.038;0.775;Não
Haiti;Americano;3.615;0.54;55.7;0.593;0.422;0.721;Não
Honduras;Americano;5.919;0.812;67.3;0.857;0.081;0.809;Não
Jamaica;Americano;6.309;0.877;67.5;0.89;-0.137;0.884;Sim
México;Americano;6.317;0.831;68.597;0.862;-0.147;0.799;Sim
Nicarágua;Americano;5.972;0.864;67.657;0.836;0.02;0.664;Não
Panamá;Americano;6.18;0.896;69.652;0.872;-0.166;0.856;Sim
Paraguai;Americano;5.653;0.893;65.9;0.876;0.028;0.882;Não
Peru;Americano;5.84;0.832;68.25;0.822;-0.154;0.891;Não
Peru;Americano;4.948;0.822;67.199;0.576;-0.139;0.776;Não
República Dominicana;Americano;5.545;0.853;66.102;0.86;-0.133;0.714;Não
Uruguai;Americano;6.431;0.925;69.1;0.896;-0.092;0.59;Sim
Venezuela;Americano;4.892;0.861;66.7;0.615;-0.169;0.827;Não
Afeganistão;Ásia;2.523;0.463;52.493;0.382;-0.102;0.924;Sim
Armênia;Ásia;5.283;0.799;67.055;0.825;-0.168;0.629;Não
Azerbaijão;Ásia;5.171;0.836;65.656;0.814;-0.223;0.506;Não
Bangladesh;Ásia;5.025;0.693;64.8;0.877;-0.041;0.682;Não
Bielo-Rússia;Ásia;5.534;0.91;66.253;0.65;-0.18;0.627;Não
Camboja;Ásia;4.83;0.765;62;0.959;0.034;0.843;Não
Cazaquistão;Ásia;6.152;0.952;65.2;0.853;-0.069;0.733;Não
China;Ásia;5.339;0.811;69.593;0.904;-0.146;0.755;Sim
Cingapura;Ásia;6.377;0.915;76.953;0.927;-0.018;0.082;Não
Coreia do Sul;Ásia;5.845;0.799;73.9;0.672;-0.083;0.727;Sim
Filipinas;Ásia;5.88;0.83;62;0.917;-0.097;0.742;Não
